segment_id,domain,zh_source,vi_reference,mt_system,vi_mt_output,vi_postedit,pe_time_seconds,revision_type,severity,review_decision,post_editor_note,source_note
P001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_A,Thúc đẩy giáo dục số hóa có ích cho mở rộng mặt bao phủ tài nguyên ưu chất.,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,118,terminology,major,major_revision,term and word-order repair,synthetic education-policy translation example; not output from a named commercial system
P001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_B,Thúc đẩy chuyển đổi số trong giáo dục giúp mở rộng phạm vi tiếp cận nguồn lực chất lượng cao.,Thúc đẩy số hóa giáo dục giúp mở rộng phạm vi tiếp cận nguồn lực chất lượng cao.,44,style,minor,minor_edit,terminology adjusted to match reference wording,synthetic education-policy translation example; not output from a named commercial system
P001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_C,Số hóa giáo dục giúp mở rộng nguồn lực chất lượng cao.,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,132,omission,major,major_revision,missing policy action restored,synthetic education-policy translation example; not output from a named commercial system
P002,teacher_development,教师培训应更加关注课堂实践和持续反馈。,Bồi dưỡng giáo viên cần chú trọng hơn đến thực hành lớp học và phản hồi liên tục.,MT_A,Đào tạo giáo viên nên càng chú ý thực tiễn lớp học và phản hồi tiếp tục.,Bồi dưỡng giáo viên cần chú trọng hơn đến thực hành lớp học và phản hồi liên tục.,102,terminology,major,major_revision,teacher-development terms revised,synthetic education-policy translation example; not output from a named commercial system
P002,teacher_development,教师培训应更加关注课堂实践和持续反馈。,Bồi dưỡng giáo viên cần chú trọng hơn đến thực hành lớp học và phản hồi liên tục.,MT_B,Bồi dưỡng giáo viên nên chú trọng hơn đến thực hành trên lớp và phản hồi thường xuyên.,Bồi dưỡng giáo viên cần chú trọng hơn đến thực hành lớp học và phản hồi thường xuyên.,38,style,minor,minor_edit,modal verb and register adjusted,synthetic education-policy translation example; not output from a named commercial system
P002,teacher_development,教师培训应更加关注课堂实践和持续反馈。,Bồi dưỡng giáo viên cần chú trọng hơn đến thực hành lớp học và phản hồi liên tục.,MT_C,Đào tạo giáo viên cần chú ý thực hành lớp học.,Bồi dưỡng giáo viên cần chú trọng hơn đến thực hành lớp học và phản hồi liên tục.,119,omission,major,major_revision,continuous feedback restored,synthetic education-policy translation example; not output from a named commercial system
P003,equity,农村学校需要稳定的师资和数字学习支持。,Các trường nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,MT_A,Trường nông thôn cần tư chất giáo viên ổn định và hỗ trợ học tập kỹ thuật số.,Các trường nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,86,terminology,minor,minor_edit,wrong term for teaching staff,synthetic education-policy translation example; not output from a named commercial system
P003,equity,农村学校需要稳定的师资和数字学习支持。,Các trường nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,MT_B,Trường học ở nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,Các trường nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,29,no_error,none,accept,acceptable variant,synthetic education-policy translation example; not output from a named commercial system
P003,equity,农村学校需要稳定的师资和数字学习支持。,Các trường nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,MT_C,Trường nông thôn cần hỗ trợ học tập số.,Các trường nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,111,omission,major,major_revision,teacher-staff meaning restored,synthetic education-policy translation example; not output from a named commercial system
P004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_A,Cải cách khóa trình nhấn mạnh năng lực sử dụng ngôn ngữ tổng hợp của học sinh.,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,94,terminology,minor,minor_edit,curriculum and competence wording repaired,synthetic education-policy translation example; not output from a named commercial system
