segment_id,domain,zh_source,vi_reference,mt_system,vi_mt_output,vi_postedit,pe_time_seconds,revision_type,severity,review_decision,post_editor_note,source_note,char_edit_distance,normalized_edit_distance,revision_needed
P001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_A,Thúc đẩy giáo dục số hóa có ích cho mở rộng mặt bao phủ tài nguyên ưu chất.,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,118,terminology,major,major_revision,term and word-order repair,synthetic education-policy translation example; not output from a named commercial system,41,0.526,True
P001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_B,Thúc đẩy chuyển đổi số trong giáo dục giúp mở rộng phạm vi tiếp cận nguồn lực chất lượng cao.,Thúc đẩy số hóa giáo dục giúp mở rộng phạm vi tiếp cận nguồn lực chất lượng cao.,44,style,minor,minor_edit,terminology adjusted to match reference wording,synthetic education-policy translation example; not output from a named commercial system,16,0.172,True
P001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_C,Số hóa giáo dục giúp mở rộng nguồn lực chất lượng cao.,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,132,omission,major,major_revision,missing policy action restored,synthetic education-policy translation example; not output from a named commercial system,25,0.321,True
P004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_A,Cải cách khóa trình nhấn mạnh năng lực sử dụng ngôn ngữ tổng hợp của học sinh.,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,94,terminology,minor,minor_edit,curriculum and competence wording repaired,synthetic education-policy translation example; not output from a named commercial system,22,0.272,True
P004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_B,Cải cách chương trình học nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,25,no_error,none,accept,minor deletion only,synthetic education-policy translation example; not output from a named commercial system,4,0.047,False
P004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_C,Cải cách chương trình nhấn mạnh năng lực ngôn ngữ của học sinh.,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,83,omission,minor,minor_edit,specific competence restored,synthetic education-policy translation example; not output from a named commercial system,18,0.222,True
P006,policy_implementation,地方教育部门可以根据学校条件制定实施方案。,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,MT_A,Bộ phận giáo dục địa phương có thể căn cứ điều kiện trường học chế định phương án thực thi.,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,109,terminology,major,major_revision,policy-administration terms repaired,synthetic education-policy translation example; not output from a named commercial system,48,0.5,True
P006,policy_implementation,地方教育部门可以根据学校条件制定实施方案。,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,MT_B,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai dựa trên điều kiện của từng trường.,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,31,no_error,none,accept,acceptable preposition variant,synthetic education-policy translation example; not output from a named commercial system,7,0.07,False
P006,policy_implementation,地方教育部门可以根据学校条件制定实施方案。,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,MT_C,Địa phương có thể xây dựng phương án triển khai.,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,116,omission,major,major_revision,institution and condition restored,synthetic education-policy translation example; not output from a named commercial system,49,0.51,True
P010,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_A,Dữ liệu bình đài không thể thay thế giáo viên đối với quá trình học tập quan sát.,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,112,word_order,major,major_revision,word order and platform term repaired,synthetic education-policy translation example; not output from a named commercial system,35,0.432,True
P010,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_B,Dữ liệu từ nền tảng không thể thay thế việc giáo viên quan sát quá trình học tập.,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,42,style,minor,minor_edit,nominal phrase tightened,synthetic education-policy translation example; not output from a named commercial system,22,0.272,True
P010,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_C,Dữ liệu không thể thay thế giáo viên.,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,143,omission,major,major_revision,platform and observation meaning restored,synthetic education-policy translation example; not output from a named commercial system,43,0.537,True
