learner_id,class_group,activity_focus,pre_score,post_score,attendance_hours,completed,self_confidence,class_group_raw,activity_focus_raw,completed_raw,gain_score,usable_pre_post
S001,A,measure_words,62.0,75.0,4.5,yes,4,A,Measure Words,yes,13.0,True
S002,A,measure_words,58.0,70.0,4.0,yes,3, a ,measure words,Y,12.0,True
S003,A,measure_words,,72.0,4.5,yes,4,Class A,measure_words,yes,,False
S004,A,measure_words,60.0,,4.0,yes,3,A,Measure words,yes,,False
S005,B,result_complements,55.0,68.0,3.5,yes,2,B,result complements,y,13.0,True
S006,B,result_complements,59.0,73.0,4.0,yes,3,b,Result Complements,YES,14.0,True
S007,B,result_complements,61.0,74.0,4.0,yes,3,B ,result_complements,yes,13.0,True
S008,B,result_complements,,71.0,3.5,yes,2,Class B,result-complements,yes,,False
S009,C,word_order,64.0,73.0,4.5,yes,4,C,Word Order,yes,9.0,True
S010,C,word_order,63.0,72.0,4.0,yes,4,c,word order,Y,9.0,True
S011,C,word_order,65.0,74.0,4.5,yes,5,Class C,word_order,yes,9.0,True
S012,C,word_order,61.0,,4.0,no,3,C,word-order,no,,False
S013,D,vocabulary_review,72.0,82.0,3.0,yes,5,D,Vocab Review,yes,10.0,True
S014,D,vocabulary_review,70.0,80.0,3.5,yes,4,d,vocabulary review,Y,10.0,True
S015,D,vocabulary_review,74.0,84.0,3.5,yes,5,Class D,vocabulary_review,yes,10.0,True
S016,D,vocabulary_review,71.0,81.0,3.0,yes,4,D,vocab_review,yes,10.0,True
S017,A,measure_words,57.0,69.0,4.5,yes,3,A,Measure Words,yes,12.0,True
S018,A,measure_words,60.0,73.0,4.0,yes,4, a,measure_words,yes,13.0,True
S019,A,measure_words,56.0,67.0,3.5,no,2,Class A,measure words,n,11.0,False
S020,A,measure_words,61.0,74.0,4.0,yes,4,A,Measure Words,yes,13.0,True
S021,B,result_complements,58.0,70.0,4.0,yes,3,B,Result Complements,yes,12.0,True
S022,B,result_complements,57.0,69.0,4.0,yes,3,b,result complements,yes,12.0,True
S023,B,result_complements,62.0,76.0,4.5,yes,4,Class B,result_complements,Y,14.0,True
S024,B,result_complements,,78.0,4.5,yes,4,B,result-complements,yes,,False
S025,C,word_order,66.0,75.0,4.0,yes,4,C,Word Order,yes,9.0,True
S026,C,word_order,63.0,71.0,3.5,yes,3,c,word_order,yes,8.0,True
S027,C,word_order,,72.0,4.0,yes,3,Class C,word order,yes,,False
S028,C,word_order,62.0,70.0,4.0,no,2,C,word-order,no,8.0,False
S029,D,vocabulary_review,75.0,84.0,3.5,yes,5,D,Vocabulary Review,yes,9.0,True
S030,D,vocabulary_review,73.0,82.0,3.0,yes,4,d,vocab review,Y,9.0,True
S031,D,vocabulary_review,,83.0,3.0,yes,5,Class D,vocabulary_review,yes,,False
S032,D,vocabulary_review,72.0,81.0,3.5,yes,4,D,Vocab Review,yes,9.0,True
S033,A,measure_words,59.0,72.0,4.5,,3,A,Measure Words,,13.0,False
S034,B,result_complements,60.0,,4.0,yes,3,B,Result Complements,yes,,False
S035,C,word_order,65.0,74.0,,yes,4,C,Word Order,yes,9.0,True
S036,D,vocabulary_review,74.0,85.0,3.5,yes,5,D,Vocabulary Review,YES,11.0,True
