segment_id,domain,zh_source,vi_reference,mt_system,vi_mt_output,human_adequacy_1_5,human_fluency_1_5,error_type,severity,review_decision,source_note,segment_chrf_pp,segment_ter
S001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_A,Thúc đẩy giáo dục số hóa có ích cho mở rộng mặt bao phủ tài nguyên ưu chất.,2.6,2.4,terminology,major,revise,synthetic education-policy translation example; not output from a named commercial system,40.04,61.11
S001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_B,Thúc đẩy chuyển đổi số trong giáo dục giúp mở rộng phạm vi tiếp cận nguồn lực chất lượng cao.,4.4,4.3,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system,63.7,38.89
S001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_C,Số hóa giáo dục giúp mở rộng nguồn lực chất lượng cao.,3.1,3.4,omission,major,revise,synthetic education-policy translation example; not output from a named commercial system,66.32,33.33
S004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_A,Cải cách khóa trình nhấn mạnh năng lực sử dụng ngôn ngữ tổng hợp của học sinh.,3.0,2.9,terminology,minor,revise,synthetic education-policy translation example; not output from a named commercial system,68.25,17.65
S004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_B,Cải cách chương trình học nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,4.8,4.6,no_error,none,acceptable_variant,synthetic education-policy translation example; not output from a named commercial system,95.25,5.88
S004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_C,Cải cách chương trình nhấn mạnh năng lực ngôn ngữ của học sinh.,3.3,3.7,omission,minor,revise,synthetic education-policy translation example; not output from a named commercial system,77.15,23.53
S011,assessment,形成性评价能够帮助教师及时调整教学。,Đánh giá quá trình có thể giúp giáo viên điều chỉnh dạy học kịp thời.,MT_A,Đánh giá hình thành có thể giúp giáo viên kịp thời điều chỉnh dạy học.,3.6,3.4,terminology,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system,73.4,40.0
S011,assessment,形成性评价能够帮助教师及时调整教学。,Đánh giá quá trình có thể giúp giáo viên điều chỉnh dạy học kịp thời.,MT_B,Đánh giá quá trình có thể giúp giáo viên điều chỉnh hoạt động dạy học kịp thời.,4.5,4.4,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system,92.8,13.33
S011,assessment,形成性评价能够帮助教师及时调整教学。,Đánh giá quá trình có thể giúp giáo viên điều chỉnh dạy học kịp thời.,MT_C,Đánh giá quá trình giúp giáo viên điều chỉnh dạy học.,3.9,4.0,omission,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system,73.31,33.33
S012,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_A,Dữ liệu bình đài không thể thay thế giáo viên đối với quá trình học tập quan sát.,2.7,2.4,word_order,major,revise,synthetic education-policy translation example; not output from a named commercial system,62.79,50.0
S012,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_B,Dữ liệu từ nền tảng không thể thay thế việc giáo viên quan sát quá trình học tập.,4.6,4.4,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system,75.88,22.22
S012,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_C,Dữ liệu không thể thay thế giáo viên.,2.8,3.2,omission,major,revise,synthetic education-policy translation example; not output from a named commercial system,40.47,61.11
