coding_id,doc_id,title,issuing_body,issue_date,date_basis,source_type,policy_level,policy_area,target_group,theme_code,evidence_type,excerpt_paraphrase,indicator_or_milestone,url,access_date,coder_note
C001,D001,Education Powerhouse Plan 2024-2035,CPC Central Committee and State Council,2025-01-19,publication_date,policy_plan,national,system_governance,national education system,strategic_goal,milestone,paraphrased policy goal: phased progress by 2027 and education powerhouse by 2035,2027 stage result; 2035 target,https://english.www.gov.cn/policies/latestreleases/202501/20/content_WS678d85c6c6d0868f4e8eef83.html,2026-06-04,description only; do not evaluate feasibility
C002,D001,Education Powerhouse Plan 2024-2035,CPC Central Committee and State Council,2025-01-19,publication_date,policy_plan,national,digitalization,schools and learners,digital_strategy,policy_text,paraphrased policy action: promote national education digitalization and resource sharing,digital education strategy,https://www.moe.gov.cn/jyb_xxgk/moe_1777/moe_1778/202501/t20250119_1176193.html?zbb=true,2026-06-04,"code as theme, not outcome"
C003,D001,Education Powerhouse Plan 2024-2035,CPC Central Committee and State Council,2025-01-19,publication_date,policy_plan,national,teacher_development,teachers,teacher_quality,policy_text,paraphrased policy action: strengthen teacher capacity and professional support,teacher development priority,https://www.moe.gov.cn/jyb_xxgk/moe_1777/moe_1778/202501/t20250119_1176193.html?zbb=true,2026-06-04,connect to TCSOL teacher-training questions
C004,D001,Education Powerhouse Plan 2024-2035,CPC Central Committee and State Council,2025-01-19,publication_date,policy_plan,national,internationalization,higher education and cooperation,international_influence,policy_text,paraphrased policy action: expand international influence and cooperation in education,international education influence,https://www.moe.gov.cn/jyb_xxgk/moe_1777/moe_1778/202501/t20250119_1176193.html?zbb=true,2026-06-04,use neutral description
C005,D002,2024 National Education Development Statistical Bulletin,Ministry of Education of the PRC,2025-06-11,publication_date,statistical_bulletin,national,education_statistics,all schools,statistical_snapshot,statistical_indicator,paraphrased bulletin scope: reports national education development indicators for 2024,"schools, students, teachers, levels",https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202506/t20250611_1193760.html,2026-06-04,record indicator family before numbers
C006,D002,2024 National Education Development Statistical Bulletin,Ministry of Education of the PRC,2025-06-11,publication_date,statistical_bulletin,national,teacher_development,teachers,teacher_supply,statistical_indicator,paraphrased indicator family: reports teacher counts and education level categories,teacher count indicators,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202506/t20250611_1193760.html,2026-06-04,do not mix policy plan with outcome claim
C007,D002,2024 National Education Development Statistical Bulletin,Ministry of Education of the PRC,2025-06-11,publication_date,statistical_bulletin,national,equity_access,students and regions,access_and_enrollment,statistical_indicator,paraphrased indicator family: reports enrolment and school-level access information,enrolment and school indicators,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202506/t20250611_1193760.html,2026-06-04,"statistics describe context, not causal impact"
C008,D003,UNESCO UIS SDG 4 Indicators,UNESCO Institute for Statistics,2026-06-04,access_date_placeholder,metadata_standard,global,indicator_metadata,countries and education systems,sdg4_indicator,metadata,paraphrased metadata source: defines global and thematic indicators for SDG 4 monitoring,12 global and 32 thematic indicators,https://www.uis.unesco.org/en/methods-and-tools/sdg4-indicators,2026-06-04,use for metadata fields and comparability caution
C009,D003,UNESCO DataHub SDG 4 Dataset,UNESCO DataHub,2026-06-04,access_date_placeholder,data_portal,global,indicator_metadata,countries and education systems,sdg4_data,metadata,paraphrased data portal scope: hosts comparable SDG 4 education indicators,dataset uis001,https://data.unesco.org/explore/dataset/uis001/export/?flg=en-us,2026-06-04,dynamic portal; cite access date
C010,D004,UNESCO GEM PEER Profiles,UNESCO Global Education Monitoring Report,2026-06-04,access_date_placeholder,coding_model,global,policy_coding_method,national policies,policy_profile,method_model,"paraphrased method model: profiles organize laws, policies and programmes by education theme",desk review plus country review where available,https://www.unesco.org/gem-report/en/peer,2026-06-04,"model for coding scheme, not a data source for China row"
C011,D005,Global Education Policy Dashboard,World Bank,2026-06-04,access_date_placeholder,policy_dashboard,global,policy_coding_method,education systems,policy_indicator,method_model,paraphrased dashboard scope: measures policy drivers linked to foundational learning,policy indicators and implementation drivers,https://www.worldbank.org/en/topic/education/brief/global-education-policy-dashboard,2026-06-04,use as example of policy indicator instrument
C012,D006,Education Policy Outlook 2025,OECD,2025-11-28,publication_date,comparative_report,international,comparative_policy,education systems,policy_comparison,report,paraphrased report scope: compares education policy responses across systems,comparative policy domains,https://www.oecd.org/en/publications/education-policy-outlook-2025_c3f402ba-en.html,2026-06-04,optional comparative framing
