response_id,learner_id,class_group,activity_focus,activity_label,item_id,target_structure,prompt_vi,expected_answer,learner_answer,has_error,error_category,error_feature,severity,possible_vi_transfer,correction_note,usable_error
R001,L001,A,input_practice,Input practice,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找票了。,True,result_complement,missing or wrong result complement,2,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R002,L001,A,role_play,Role play,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两茶。,True,measure_word,generic 个 used for object classifier,3,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R003,L001,A,feedback_cycle,Feedback cycle,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我吃了饭了。,True,aspect_marker,missing or misplaced 了,1,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R004,L001,A,guided_rewrite,Guided rewrite,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,在学校我学习汉语。,True,word_order,place phrase placed after verb phrase,2,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R005,L001,A,input_practice,Input practice,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,ma,True,tone_marking,missing or wrong tone mark,2,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R006,L002,B,role_play,Role play,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找到了票。,True,result_complement,missing or wrong result complement,3,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R007,L002,B,feedback_cycle,Feedback cycle,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两杯茶。,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R008,L002,B,guided_rewrite,Guided rewrite,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,2,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R009,L002,B,input_practice,Input practice,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,2,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R010,L002,B,role_play,Role play,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,má,True,tone_marking,missing or wrong tone mark,1,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R011,L003,A,feedback_cycle,Feedback cycle,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找到票。,True,result_complement,missing or wrong result complement,1,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R012,L003,A,guided_rewrite,Guided rewrite,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两杯的茶。,True,measure_word,generic 个 used for object classifier,2,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R013,L003,A,input_practice,Input practice,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我了吃饭。,True,aspect_marker,missing or misplaced 了,2,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R014,L003,A,role_play,Role play,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,我在学校汉语学习。,True,word_order,place phrase placed after verb phrase,1,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R015,L003,A,feedback_cycle,Feedback cycle,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,mǎ,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R016,L004,B,guided_rewrite,Guided rewrite,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找票到。,True,result_complement,missing or wrong result complement,2,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R017,L004,B,input_practice,Input practice,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,2,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R018,L004,B,role_play,Role play,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我吃饭。,True,aspect_marker,missing or misplaced 了,1,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R019,L004,B,feedback_cycle,Feedback cycle,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,两个票。,True,measure_word,generic ge used for object classifier,3,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as yi bei cha, liang ben shu, san zhang piao.",True
R020,L004,B,guided_rewrite,Guided rewrite,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,,,unusable_response,blank or off-task response,,,Do not analyze: blank/off-task response.,False
R021,L005,A,input_practice,Input practice,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,2,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R022,L005,A,role_play,Role play,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两茶。,True,measure_word,generic 个 used for object classifier,1,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R023,L005,A,feedback_cycle,Feedback cycle,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我吃饭了。,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R024,L005,A,guided_rewrite,Guided rewrite,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,在学校我学习汉语。,True,word_order,place phrase placed after verb phrase,2,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R025,L005,A,input_practice,Input practice,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,ma,True,tone_marking,missing or wrong tone mark,1,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R026,L006,B,role_play,Role play,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找到票了。,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R027,L006,B,feedback_cycle,Feedback cycle,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,二个茶。,True,measure_word,generic 个 used for object classifier,3,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R028,L006,B,guided_rewrite,Guided rewrite,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我饭吃了。,True,aspect_marker,missing or misplaced 了,2,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R029,L006,B,input_practice,Input practice,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,1,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R030,L006,B,role_play,Role play,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,má,True,tone_marking,missing or wrong tone mark,2,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R031,L007,A,feedback_cycle,Feedback cycle,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,3,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R032,L007,A,guided_rewrite,Guided rewrite,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两杯的茶。,True,measure_word,generic 个 used for object classifier,2,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R033,L007,A,input_practice,Input practice,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我了吃饭。,True,aspect_marker,missing or misplaced 了,1,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R034,L007,A,role_play,Role play,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,我在学校学习汉语。,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R035,L007,A,feedback_cycle,Feedback cycle,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,mà,True,tone_marking,missing or wrong tone mark,3,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R036,L008,B,guided_rewrite,Guided rewrite,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找票到。,True,result_complement,missing or wrong result complement,2,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R037,L008,B,input_practice,Input practice,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,1,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R038,L008,B,role_play,Role play,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我吃饭。,True,aspect_marker,missing or misplaced 了,2,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R039,L008,B,feedback_cycle,Feedback cycle,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,我学习在学校汉语。,True,word_order,place phrase placed after verb phrase,3,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R040,L008,B,guided_rewrite,Guided rewrite,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,mā,True,tone_marking,missing or wrong tone mark,1,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R041,L009,A,input_practice,Input practice,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找票了。,True,result_complement,missing or wrong result complement,1,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R042,L009,A,role_play,Role play,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两茶。,True,measure_word,generic 个 used for object classifier,2,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R043,L009,A,feedback_cycle,Feedback cycle,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,,,unusable_response,blank or off-task response,,,Do not analyze: blank/off-task response.,False
R044,L009,A,guided_rewrite,Guided rewrite,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,在学校我学习汉语。,True,word_order,place phrase placed after verb phrase,1,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R045,L009,A,input_practice,Input practice,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,ma,True,tone_marking,missing or wrong tone mark,2,Vietnamese has tone but Mandarin tone category and mark placement differ,Use minimal tone pairs and require tone marks in written rehearsal.,True
R046,L010,B,role_play,Role play,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找到了票,True,aspect_marker,missing or misplaced le,2,possible Vietnamese tense/aspect expression does not map one-to-one to le,Use short action-result routines and compare verb-final le with sentence-final le.,True
R047,L010,B,feedback_cycle,Feedback cycle,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,二个茶。,True,measure_word,generic 个 used for object classifier,3,possible Vietnamese noun phrase transfer without obligatory classifier choice,"Teach object-specific classifier chunks such as 一杯茶, 两本书, 三张票.",True
R048,L010,B,guided_rewrite,Guided rewrite,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我饭吃了。,True,aspect_marker,missing or misplaced 了,1,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R049,L010,B,input_practice,Input practice,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,我学习汉语在学校。,True,word_order,place phrase placed after verb phrase,2,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
R050,L010,B,role_play,Role play,I05,tone-marked pinyin check,Viết pinyin có thanh điệu cho 马.,mǎ,mǎ,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R051,L011,A,feedback_cycle,Feedback cycle,I01,result complements in service dialogues,Nói bằng tiếng Trung: I found the ticket.,我找到票了。,我找到票。,True,result_complement,missing or wrong result complement,3,possible Vietnamese result expression mapped without complement structure,Contrast 找票 and 找到票了; ask learners to say whether the action reached a result.,True
R052,L011,A,guided_rewrite,Guided rewrite,I02,shopping measure words,Nói bằng tiếng Trung: two cups of tea.,两杯茶。,两杯茶。,False,no_error,target-like response,0,,Keep as target-like example; do not count as an error.,True
R053,L011,A,input_practice,Input practice,I03,aspect marker le in daily routines,Nói bằng tiếng Trung: I ate dinner.,我吃饭了。,我了吃饭。,True,aspect_marker,missing or misplaced 了,2,possible Vietnamese tense/aspect expression does not map one-to-one to 了,Use short action-result routines and compare verb-final 了 with sentence-final 了.,True
R054,L011,A,role_play,Role play,I04,time-place word order,Nói bằng tiếng Trung: I study Chinese at school.,我在学校学习汉语。,我在学校汉语学习。,True,word_order,place phrase placed after verb phrase,2,possible Vietnamese SVO/place-after-verb tendency,Practice subject + time/place + verb phrase frames before open production.,True
