artifact_id,paper_area,artifact_name,source_week,source_path,default_tool,required_core,status,quality_check,learner_action,notes
Q01,Framing,Research question and track memo,Week 01,weeks/week-01-python-research-workflow/outputs/tables/week01_selected_track_summary.csv,Word + Zotero,yes,ready,question is bounded and tied to one track,Choose the final paper track and rewrite the question in one sentence,"Start from the Week 01 memo, not from a broad topic."
D02,Data,Data description and unit definition,Week 02,weeks/week-02-research-data-tables/README.md,Word,yes,revise,unit of analysis is explicit,Write a 4-5 sentence data description for the chosen paper,"Use Week 02 as a template, not as final data."
T03,Evidence,Descriptive table model,Week 03,weeks/week-03-pandas-descriptive-tables/README.md,Word,yes,revise,"table title, rows, columns, and N are clear",Pick the most relevant descriptive table for the selected track,A table without caption is not paper-ready.
C04,Data,Cleaning log / data decision note,Week 04,weeks/week-04-data-cleaning-log/outputs/tables/week04_usable_by_activity.csv,Word,yes,ready,cleaning decision is traceable,Summarize one cleaning decision and why it matters,Keep raw learner data private.
F05,Figure,Figure package with caption,Week 05,weeks/week-05-visualization-for-paper/outputs/figures/week05_mean_gain_by_activity.png,Word,yes,ready,figure is readable and caption states what it shows,Use one final figure or replace it with a later-track figure,Prefer one strong figure over many weak ones.
S06,Results,Statistics table / uncertainty note,Week 06,weeks/week-06-intro-statistics-for-results/outputs/tables/week06_overall_gain_summary.csv,Word,yes,ready,effect description and limitation are visible,Keep only the statistic that directly supports the paper question,Do not overclaim causality.
M07,Methods,TCSOL short-course method artifact,Week 07,weeks/week-07-tcsol-short-course-research/outputs/tables/week07_variable_map.csv,Word,no,ready,variables map to teaching activity and rubric,Use if the final paper is TCSOL short-course focused,Optional for non-TCSOL tracks.
E08,Evidence,Learner error summary,Week 08,weeks/week-08-learner-error-analysis/outputs/tables/week08_error_frequency.csv,Word,no,ready,error categories are defined and counted,Use if learner error evidence is central,Optional track-specific artifact.
CV09,Evidence,Chinese-Vietnamese contrastive examples,Week 09,weeks/week-09-chinese-vietnamese-contrastive-data/outputs/tables/week09_selected_contrastive_examples.csv,Word,no,ready,examples have clear phenomenon and teaching risk,Use if the final paper is contrastive or teaching-material focused,Examples need qualitative explanation.
P10,Pedagogy,Pedagogical adaptation table,Week 10,weeks/week-10-pedagogical-adaptation/outputs/tables/week10_short_lesson_plan.csv,Word,no,ready,activity recommendation follows evidence,Use as Discussion/Implication material,Do not present as statistical proof.
MT11,Evidence,Machine translation evaluation table,Week 11,weeks/week-11-mt-evaluation/outputs/tables/week11_system_metric_summary.csv,Word,no,ready,metric settings and human caution are visible,Use if the paper evaluates MT output,"Metrics support, not replace, human judgement."
PE12,Evidence,MTPE effort memo,Week 12,weeks/week-12-mtpe-workflow/outputs/tables/week12_submission_text.md,Word,no,ready,editing effort is linked to source type and limitation,Use if the paper is about MTPE workflow,Keep time logs transparent.
POL13,Methods,Policy coding Methods paragraph,Week 13,weeks/week-13-education-policy-data/outputs/tables/week13_submission_text.md,Word or Quarto,yes,ready,"metadata, date basis, coding scheme, and limitation are explicit",Use for education-policy context or source-map method,Good bridge into paper package.
REF14,References,Zotero reference library / bibliography,Week 14,paper/references.bib,Word + Zotero,yes,missing,"all cited sources have author/organization, title, date, URL, access date",Create Zotero collection and export .bib only if using Quarto/Overleaf,Word + Zotero can avoid manual .bib at first.
DRAFT14,Draft,Mini paper draft,Week 14,paper/mini_paper.docx,Word + Zotero,yes,missing,"sections exist: title, question, data, methods, result, limitation, references",Draft in Word first; add citations with Zotero plugin,Overleaf is optional after the prose exists.
REPRO14,Reproducibility,Package README / reproducibility note,Week 14,paper/README.md,Markdown,yes,missing,reader can rerun notebook and find outputs,Write a short package README with file map and rerun note,This protects future-you.
