activity_id,phenomenon,activity_title,lesson_phase,target_level,target_form,vietnamese_bridge,contrastive_focus,activity_type,minutes,preparation_load,learner_difficulty,communicative_value,week09_priority_score,include_in_short_lesson,activity_goal,teacher_move,learner_output,assessment_evidence,caution_note
A001,result_complement,Notice action vs result,notice,A2,找 / 找到,tìm / tìm thấy,"Students underline action verbs and result words in four paired examples, including 我找到了票。",example_card,6,1,3,2,28.0,True,identify action-result difference,model two examples; ask learners to mark result words,marked example card,learner highlights correct focus token,"Do not explain every complement type at once; 到 here signals successful attainment, not simply location."
A002,result_complement,Contrast mini-board,compare,A2,找到 / 找完 / 找错,tìm thấy / tìm xong / tìm nhầm,Teacher builds a two-column Chinese-Vietnamese contrast board.,board_comparison,8,1,3,2,28.0,True,compare Chinese result complement with Vietnamese result wording,write Chinese pattern beside Vietnamese rendering,one completed contrast row,oral explanation of one row,"Keep Vietnamese rendering as support, not final answer."
A003,result_complement,Frame completion drill,controlled_practice,A2,我找到了票 / 我没找到票,tìm thấy vé / không tìm thấy vé,Learners complete short sentence frames before translating meaning.,sentence_frame,10,2,3,2,28.0,True,produce controlled result-complement frames,give half-completed sentences and feedback,six completed sentences,accuracy in completed frames,Controlled practice should be brief and meaningful.
A004,result_complement,Lost-ticket role play,communicative_practice,A2,找到票 / 买到票 / 你找到了吗？,tìm thấy vé / mua được vé / bạn đã tìm thấy chưa?,Pairs solve a simple ticket problem using result complements.,role_play,10,2,3,3,28.0,True,use result complements in a tiny communicative task,assign roles and require two target sentences,mini dialogue,target forms in dialogue,Do not grade fluency more than target form this week.
A005,result_complement,Exit ticket,assessment,A2,找到 / 找,tìm thấy / tìm,Learner writes one new sentence and one Vietnamese explanation.,exit_ticket,4,1,3,2,28.0,True,check whether learner separates action and result,collect one sentence plus one explanation,one sentence + note,teacher reads for action/result distinction,"Exit ticket is formative, not a test score."
A006,aspect_marker,了 context sort,notice,A2,V 了 / sentence-final 了,rồi / đã / context-dependent rendering,"Students sort examples where 了 marks completed action versus sentence-final change or new situation.",card_sort,8,2,3,2,25.0,False,notice that 了 is not simply past tense,give three context cards,sorted cards,learner explains why one card is not past tense,Avoid giving a full aspect lecture.
A007,aspect_marker,Timeline plus context,compare,A2,V 了 / 没(有) V,rồi / chưa,Teacher contrasts completed action and non-occurrence in a simple timeline.,timeline,8,2,3,2,25.0,False,connect aspect marker to context,draw minimal timeline and examples,annotated timeline,explanation of one 了 example,"Timeline is an aid, not a grammar theory."
A008,aspect_marker,Sentence choice check,assessment,A2,吃饭了 / 还没来,ăn cơm rồi / vẫn chưa đến,Learners choose which aspect or non-occurrence frame fits two short contexts.,micro_quiz,5,1,2,2,25.0,False,check context-based aspect choice,read two contexts aloud,two choices with reasons,"reasoning, not only answer","Focus on context and reason, not speed."
A009,measure_classifier,Classifier object tray,notice,A1,一张票 / 一本书 / 一杯茶,một (tấm) vé / một quyển sách / một cốc trà,Learners match objects to classifiers using physical or picture cards.,matching,7,2,2,3,19.0,False,notice classifier-object relation,show object cards,matched pairs,matched classifier choice,Do not imply all Chinese classifiers map to Vietnamese classifiers.
A010,measure_classifier,个 contrast warning,compare,A1,两个学生,hai học sinh,Teacher contrasts Mandarin numeral-noun phrases with Vietnamese phrases where classifiers may be omitted or vary by noun and context.,contrast_note,6,1,3,2,19.0,False,explain why 个 appears in Chinese,write Chinese and Vietnamese noun phrases,one contrast note,learner says why 个 is present,Use “normally requires” rather than absolute wording.
A011,measure_classifier,Shopping list practice,controlled_practice,A1,两杯茶 / 三本书,hai cốc trà / ba quyển sách,Learners build a mini shopping/study list with classifiers.,list_building,8,1,2,3,19.0,False,practice classifier chunks,provide nouns and classifier bank,five-item list,correct chunks,Keep list short.
A012,time_place_order,Sentence strip reorder,notice,A1,S + place + V,S + V + place,Learners move sentence strips to form Chinese order.,sentence_strips,7,1,3,2,21.0,False,notice Chinese pre-verbal place phrase,give mixed strips,ordered sentence,correct order,Use one place phrase first.
A013,time_place_order,Vietnamese-to-Chinese frame,controlled_practice,A1,在学校学习,học ở trường,Learners transform two Vietnamese-style sentences into Chinese frames.,frame_transform,9,2,3,2,21.0,False,practice location before verb,model one transformation,two transformed sentences,order and meaning,Do not add time and place together too early.
A014,time_place_order,Classroom map task,communicative_practice,A1,在...做...,làm ... ở ...,Learners describe where activities happen on a classroom map.,map_task,10,2,2,3,21.0,False,use place phrase in meaningful context,show simple map,three location sentences,target order in speech,Map should be simple.
A015,tone_pinyin_mapping,Minimal pair listening,notice,A1,mǎi / mài,mua / bán,Learners hear and mark tone differences in high-value pairs.,listening_pair,6,2,3,2,22.0,False,notice tone changes meaning,play/read pairs slowly,marked tone pair,correct identification,"Vietnamese tone knowledge is support, not a direct map."
