learner_id,class_group,activity_focus,pre_score,post_score,attendance_hours,completed
S001,A,measure_words,58,72,5.5,yes
S002,A,measure_words,62,75,6.0,yes
S003,A,measure_words,65,78,6.0,yes
S004,A,measure_words,70,80,5.0,yes
S005,A,measure_words,55,68,4.5,yes
S006,A,measure_words,60,73,5.0,yes
S007,A,measure_words,66,76,4.0,yes
S008,A,measure_words,59,70,5.5,yes
S009,B,result_complements,52,66,5.0,yes
S010,B,result_complements,57,69,5.5,yes
S011,B,result_complements,61,74,6.0,yes
S012,B,result_complements,63,75,6.0,yes
S013,B,result_complements,50,60,4.0,yes
S014,B,result_complements,68,79,5.5,yes
S015,B,result_complements,64,76,5.0,yes
S016,B,result_complements,56,68,4.5,yes
S017,C,word_order,60,69,4.5,yes
S018,C,word_order,63,72,5.0,yes
S019,C,word_order,67,75,5.5,yes
S020,C,word_order,69,77,5.0,yes
S021,C,word_order,54,62,3.5,no
S022,C,word_order,58,67,4.0,yes
S023,C,word_order,62,70,4.5,yes
S024,C,word_order,65,73,5.0,yes
S025,D,vocabulary_review,71,79,3.5,yes
S026,D,vocabulary_review,74,82,4.0,yes
S027,D,vocabulary_review,69,76,4.0,yes
S028,D,vocabulary_review,76,84,4.5,yes
S029,D,vocabulary_review,72,80,3.5,yes
S030,D,vocabulary_review,70,78,4.0,yes
S031,D,vocabulary_review,73,81,4.5,yes
S032,D,vocabulary_review,75,83,4.0,yes
