coding_id,doc_id,title,issuing_body,issue_date,date_basis,issue_date_parsed,source_type,policy_area,theme_code,url,access_date
C001,D001,Education Powerhouse Plan 2024-2035,CPC Central Committee and State Council,2025-01-19,publication_date,2025-01-19,policy_plan,system_governance,strategic_goal,https://english.www.gov.cn/policies/latestreleases/202501/20/content_WS678d85c6c6d0868f4e8eef83.html,2026-06-04
C002,D001,Education Powerhouse Plan 2024-2035,CPC Central Committee and State Council,2025-01-19,publication_date,2025-01-19,policy_plan,digitalization,digital_strategy,https://www.moe.gov.cn/jyb_xxgk/moe_1777/moe_1778/202501/t20250119_1176193.html?zbb=true,2026-06-04
C003,D001,Education Powerhouse Plan 2024-2035,CPC Central Committee and State Council,2025-01-19,publication_date,2025-01-19,policy_plan,teacher_development,teacher_quality,https://www.moe.gov.cn/jyb_xxgk/moe_1777/moe_1778/202501/t20250119_1176193.html?zbb=true,2026-06-04
C004,D001,Education Powerhouse Plan 2024-2035,CPC Central Committee and State Council,2025-01-19,publication_date,2025-01-19,policy_plan,internationalization,international_influence,https://www.moe.gov.cn/jyb_xxgk/moe_1777/moe_1778/202501/t20250119_1176193.html?zbb=true,2026-06-04
C005,D002,2024 National Education Development Statistical Bulletin,Ministry of Education of the PRC,2025-06-11,publication_date,2025-06-11,statistical_bulletin,education_statistics,statistical_snapshot,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202506/t20250611_1193760.html,2026-06-04
C006,D002,2024 National Education Development Statistical Bulletin,Ministry of Education of the PRC,2025-06-11,publication_date,2025-06-11,statistical_bulletin,teacher_development,teacher_supply,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202506/t20250611_1193760.html,2026-06-04
C007,D002,2024 National Education Development Statistical Bulletin,Ministry of Education of the PRC,2025-06-11,publication_date,2025-06-11,statistical_bulletin,equity_access,access_and_enrollment,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202506/t20250611_1193760.html,2026-06-04
C012,D006,Education Policy Outlook 2025,OECD,2025-11-28,publication_date,2025-11-28,comparative_report,comparative_policy,policy_comparison,https://www.oecd.org/en/publications/education-policy-outlook-2025_c3f402ba-en.html,2026-06-04
C008,D003,UNESCO UIS SDG 4 Indicators,UNESCO Institute for Statistics,2026-06-04,access_date_placeholder,2026-06-04,metadata_standard,indicator_metadata,sdg4_indicator,https://www.uis.unesco.org/en/methods-and-tools/sdg4-indicators,2026-06-04
C009,D003,UNESCO DataHub SDG 4 Dataset,UNESCO DataHub,2026-06-04,access_date_placeholder,2026-06-04,data_portal,indicator_metadata,sdg4_data,https://data.unesco.org/explore/dataset/uis001/export/?flg=en-us,2026-06-04
C010,D004,UNESCO GEM PEER Profiles,UNESCO Global Education Monitoring Report,2026-06-04,access_date_placeholder,2026-06-04,coding_model,policy_coding_method,policy_profile,https://www.unesco.org/gem-report/en/peer,2026-06-04
C011,D005,Global Education Policy Dashboard,World Bank,2026-06-04,access_date_placeholder,2026-06-04,policy_dashboard,policy_coding_method,policy_indicator,https://www.worldbank.org/en/topic/education/brief/global-education-policy-dashboard,2026-06-04
