learner_id,research_track,activity_group,cefr_start,skill,time,score
L001,TCSOL,task-based,A1,speaking,pre,38
L001,TCSOL,task-based,A1,speaking,post,58
L001,TCSOL,task-based,A1,vocabulary,pre,42
L001,TCSOL,task-based,A1,vocabulary,post,63
L002,TCSOL,task-based,A1,speaking,pre,41
L002,TCSOL,task-based,A1,speaking,post,61
L002,TCSOL,task-based,A1,vocabulary,pre,45
L002,TCSOL,task-based,A1,vocabulary,post,66
L003,TCSOL,task-based,A2,speaking,pre,50
L003,TCSOL,task-based,A2,speaking,post,68
L003,TCSOL,task-based,A2,vocabulary,pre,55
L003,TCSOL,task-based,A2,vocabulary,post,70
L004,TCSOL,task-based,A1,speaking,pre,36
L004,TCSOL,task-based,A1,speaking,post,54
L004,TCSOL,task-based,A1,vocabulary,pre,39
L004,TCSOL,task-based,A1,vocabulary,post,57
L005,TCSOL,form-focused,A1,speaking,pre,39
L005,TCSOL,form-focused,A1,speaking,post,50
L005,TCSOL,form-focused,A1,vocabulary,pre,44
L005,TCSOL,form-focused,A1,vocabulary,post,55
L006,TCSOL,form-focused,A2,speaking,pre,49
L006,TCSOL,form-focused,A2,speaking,post,57
L006,TCSOL,form-focused,A2,vocabulary,pre,52
L006,TCSOL,form-focused,A2,vocabulary,post,62
L007,TCSOL,form-focused,A1,speaking,pre,35
L007,TCSOL,form-focused,A1,speaking,post,47
L007,TCSOL,form-focused,A1,vocabulary,pre,41
L007,TCSOL,form-focused,A1,vocabulary,post,53
L008,TCSOL,form-focused,A1,speaking,pre,42
L008,TCSOL,form-focused,A1,speaking,post,52
L008,TCSOL,form-focused,A1,vocabulary,pre,47
L008,TCSOL,form-focused,A1,vocabulary,post,58
L009,translation,mtpe-guided,B1,speaking,pre,62
L009,translation,mtpe-guided,B1,speaking,post,71
L009,translation,mtpe-guided,B1,vocabulary,pre,68
L009,translation,mtpe-guided,B1,vocabulary,post,78
L010,translation,mtpe-guided,B1,speaking,pre,60
L010,translation,mtpe-guided,B1,speaking,post,70
L010,translation,mtpe-guided,B1,vocabulary,pre,64
L010,translation,mtpe-guided,B1,vocabulary,post,76
L011,translation,mtpe-guided,B2,speaking,pre,69
L011,translation,mtpe-guided,B2,speaking,post,77
L011,translation,mtpe-guided,B2,vocabulary,pre,74
L011,translation,mtpe-guided,B2,vocabulary,post,83
L012,translation,mtpe-guided,B1,speaking,pre,58
L012,translation,mtpe-guided,B1,speaking,post,67
L012,translation,mtpe-guided,B1,vocabulary,pre,61
L012,translation,mtpe-guided,B1,vocabulary,post,72
L013,translation,dictionary-only,B1,speaking,pre,59
L013,translation,dictionary-only,B1,speaking,post,63
L013,translation,dictionary-only,B1,vocabulary,pre,63
L013,translation,dictionary-only,B1,vocabulary,post,69
L014,translation,dictionary-only,B2,speaking,pre,67
L014,translation,dictionary-only,B2,speaking,post,70
L014,translation,dictionary-only,B2,vocabulary,pre,72
L014,translation,dictionary-only,B2,vocabulary,post,76
L015,translation,dictionary-only,B1,speaking,pre,56
L015,translation,dictionary-only,B1,speaking,post,61
L015,translation,dictionary-only,B1,vocabulary,pre,60
L015,translation,dictionary-only,B1,vocabulary,post,66
L016,translation,dictionary-only,B1,speaking,pre,54
L016,translation,dictionary-only,B1,speaking,post,59
L016,translation,dictionary-only,B1,vocabulary,pre,58
L016,translation,dictionary-only,B1,vocabulary,post,64
