country,year,school_level,source_note,indicator_name,indicator_value
China,2020,lower secondary,World Bank / UIS teaching extract,completion_rate,92.5
China,2020,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,97.2
China,2020,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,18.2
China,2021,lower secondary,World Bank / UIS teaching extract,completion_rate,93.1
China,2021,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,97.8
China,2021,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,17.9
China,2022,lower secondary,World Bank / UIS teaching extract,completion_rate,93.8
China,2022,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,98.0
China,2022,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,17.7
Indonesia,2020,lower secondary,World Bank / UIS teaching extract,completion_rate,75.8
Indonesia,2020,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,83.5
Indonesia,2020,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,25.9
Indonesia,2021,lower secondary,World Bank / UIS teaching extract,completion_rate,76.2
Indonesia,2021,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,84.6
Indonesia,2021,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,25.5
Indonesia,2022,lower secondary,World Bank / UIS teaching extract,completion_rate,77.4
Indonesia,2022,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,85.1
Indonesia,2022,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,25.1
Thailand,2020,lower secondary,World Bank / UIS teaching extract,completion_rate,82.4
Thailand,2020,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,89.3
Thailand,2020,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,22.4
Thailand,2021,lower secondary,World Bank / UIS teaching extract,completion_rate,83.0
Thailand,2021,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,90.1
Thailand,2021,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,22.1
Thailand,2022,lower secondary,World Bank / UIS teaching extract,completion_rate,84.3
Thailand,2022,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,91.0
Thailand,2022,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,21.9
Vietnam,2020,lower secondary,World Bank / UIS teaching extract,completion_rate,78.4
Vietnam,2020,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,86.1
Vietnam,2020,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,27.5
Vietnam,2021,lower secondary,World Bank / UIS teaching extract,completion_rate,79.0
Vietnam,2021,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,87.5
Vietnam,2021,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,28.1
Vietnam,2022,lower secondary,World Bank / UIS teaching extract,completion_rate,80.2
Vietnam,2022,lower secondary,World Bank / UIS teaching extract,gross_enrollment_rate,88.4
Vietnam,2022,lower secondary,World Bank / UIS teaching extract,student_teacher_ratio,27.9
