segment_id,domain,zh_source,vi_reference,mt_system,vi_mt_output,human_adequacy_1_5,human_fluency_1_5,error_type,severity,review_decision,source_note
S001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_A,Thúc đẩy giáo dục số hóa có ích cho mở rộng mặt bao phủ tài nguyên ưu chất.,2.6,2.4,terminology,major,revise,synthetic education-policy translation example; not output from a named commercial system
S001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_B,Thúc đẩy chuyển đổi số trong giáo dục giúp mở rộng phạm vi tiếp cận nguồn lực chất lượng cao.,4.4,4.3,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S001,digitalization,推进教育数字化有助于扩大优质资源覆盖面。,Thúc đẩy số hóa giáo dục giúp mở rộng độ bao phủ của nguồn lực chất lượng cao.,MT_C,Số hóa giáo dục giúp mở rộng nguồn lực chất lượng cao.,3.1,3.4,omission,major,revise,synthetic education-policy translation example; not output from a named commercial system
S002,teacher_development,教师培训应更加关注课堂实践和持续反馈。,Bồi dưỡng giáo viên cần chú trọng hơn đến thực hành lớp học và phản hồi liên tục.,MT_A,Đào tạo giáo viên nên càng chú ý thực tiễn lớp học và phản hồi tiếp tục.,2.8,2.6,terminology,major,revise,synthetic education-policy translation example; not output from a named commercial system
S002,teacher_development,教师培训应更加关注课堂实践和持续反馈。,Bồi dưỡng giáo viên cần chú trọng hơn đến thực hành lớp học và phản hồi liên tục.,MT_B,Bồi dưỡng giáo viên nên chú trọng hơn đến thực hành trên lớp và phản hồi thường xuyên.,4.5,4.3,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S002,teacher_development,教师培训应更加关注课堂实践和持续反馈。,Bồi dưỡng giáo viên cần chú trọng hơn đến thực hành lớp học và phản hồi liên tục.,MT_C,Đào tạo giáo viên cần chú ý thực hành lớp học.,3.0,3.3,omission,major,revise,synthetic education-policy translation example; not output from a named commercial system
S003,equity,农村学校需要稳定的师资和数字学习支持。,Các trường nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,MT_A,Trường nông thôn cần tư chất giáo viên ổn định và hỗ trợ học tập kỹ thuật số.,3.0,2.8,terminology,minor,revise,synthetic education-policy translation example; not output from a named commercial system
S003,equity,农村学校需要稳定的师资和数字学习支持。,Các trường nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,MT_B,Trường học ở nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,4.7,4.5,no_error,none,acceptable_variant,synthetic education-policy translation example; not output from a named commercial system
S003,equity,农村学校需要稳定的师资和数字学习支持。,Các trường nông thôn cần đội ngũ giáo viên ổn định và hỗ trợ học tập số.,MT_C,Trường nông thôn cần hỗ trợ học tập số.,3.0,3.4,omission,major,revise,synthetic education-policy translation example; not output from a named commercial system
S004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_A,Cải cách khóa trình nhấn mạnh năng lực sử dụng ngôn ngữ tổng hợp của học sinh.,3.0,2.9,terminology,minor,revise,synthetic education-policy translation example; not output from a named commercial system
S004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_B,Cải cách chương trình học nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,4.8,4.6,no_error,none,acceptable_variant,synthetic education-policy translation example; not output from a named commercial system
S004,curriculum,课程改革强调学生的综合语言运用能力。,Cải cách chương trình nhấn mạnh năng lực vận dụng tổng hợp ngôn ngữ của học sinh.,MT_C,Cải cách chương trình nhấn mạnh năng lực ngôn ngữ của học sinh.,3.3,3.7,omission,minor,revise,synthetic education-policy translation example; not output from a named commercial system
S005,assessment,评价结果应服务于改进教学，而不是简单排名。,"Kết quả đánh giá cần phục vụ việc cải thiện dạy học, chứ không chỉ để xếp hạng đơn giản.",MT_A,"Kết quả đánh giá nên phục vụ cải tiến giảng dạy, mà không phải xếp thứ tự đơn giản.",3.1,2.9,word_order,minor,revise,synthetic education-policy translation example; not output from a named commercial system
S005,assessment,评价结果应服务于改进教学，而不是简单排名。,"Kết quả đánh giá cần phục vụ việc cải thiện dạy học, chứ không chỉ để xếp hạng đơn giản.",MT_B,"Kết quả đánh giá nên phục vụ cải thiện hoạt động dạy học, chứ không chỉ dùng để xếp hạng.",4.5,4.3,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S005,assessment,评价结果应服务于改进教学，而不是简单排名。,"Kết quả đánh giá cần phục vụ việc cải thiện dạy học, chứ không chỉ để xếp hạng đơn giản.",MT_C,Kết quả đánh giá không chỉ để xếp hạng.,2.9,3.4,omission,major,revise,synthetic education-policy translation example; not output from a named commercial system
S006,policy_implementation,地方教育部门可以根据学校条件制定实施方案。,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,MT_A,Bộ phận giáo dục địa phương có thể căn cứ điều kiện trường học chế định phương án thực thi.,2.8,2.6,terminology,major,revise,synthetic education-policy translation example; not output from a named commercial system
S006,policy_implementation,地方教育部门可以根据学校条件制定实施方案。,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,MT_B,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai dựa trên điều kiện của từng trường.,4.6,4.4,no_error,none,acceptable_variant,synthetic education-policy translation example; not output from a named commercial system
S006,policy_implementation,地方教育部门可以根据学校条件制定实施方案。,Cơ quan giáo dục địa phương có thể xây dựng phương án triển khai theo điều kiện của từng trường.,MT_C,Địa phương có thể xây dựng phương án triển khai.,2.9,3.3,omission,major,revise,synthetic education-policy translation example; not output from a named commercial system
S007,teacher_development,新教师需要在真实教学情境中获得指导。,Giáo viên mới cần được hướng dẫn trong bối cảnh dạy học thực tế.,MT_A,Giáo viên mới cần ở trong tình huống dạy học chân thật đạt được chỉ đạo.,2.7,2.4,word_order,major,revise,synthetic education-policy translation example; not output from a named commercial system
S007,teacher_development,新教师需要在真实教学情境中获得指导。,Giáo viên mới cần được hướng dẫn trong bối cảnh dạy học thực tế.,MT_B,Giáo viên mới cần được hướng dẫn trong các tình huống dạy học thực tế.,4.6,4.5,no_error,none,acceptable_variant,synthetic education-policy translation example; not output from a named commercial system
S007,teacher_development,新教师需要在真实教学情境中获得指导。,Giáo viên mới cần được hướng dẫn trong bối cảnh dạy học thực tế.,MT_C,Giáo viên mới cần được hướng dẫn trong bối cảnh thực tế.,3.8,4.0,omission,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S008,international_chinese,短期汉语课程应结合学习者的母语背景设计任务。,Khóa học Hán ngữ ngắn hạn nên thiết kế nhiệm vụ dựa trên bối cảnh tiếng mẹ đẻ của người học.,MT_A,Khóa Hán ngữ ngắn hạn nên kết hợp bối cảnh mẫu ngữ của người học để thiết kế nhiệm vụ.,2.9,2.6,terminology,major,revise,synthetic education-policy translation example; not output from a named commercial system
S008,international_chinese,短期汉语课程应结合学习者的母语背景设计任务。,Khóa học Hán ngữ ngắn hạn nên thiết kế nhiệm vụ dựa trên bối cảnh tiếng mẹ đẻ của người học.,MT_B,Khóa Hán ngữ ngắn hạn nên thiết kế nhiệm vụ gắn với nền tảng tiếng mẹ đẻ của người học.,4.4,4.3,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S008,international_chinese,短期汉语课程应结合学习者的母语背景设计任务。,Khóa học Hán ngữ ngắn hạn nên thiết kế nhiệm vụ dựa trên bối cảnh tiếng mẹ đẻ của người học.,MT_C,Khóa Hán ngữ ngắn hạn nên thiết kế nhiệm vụ cho người học.,3.1,3.4,omission,major,revise,synthetic education-policy translation example; not output from a named commercial system
S009,curriculum,教材例句应反映真实交际场景。,Câu ví dụ trong giáo trình nên phản ánh bối cảnh giao tiếp thực tế.,MT_A,Câu ví dụ tài liệu dạy học nên phản ánh cảnh giao tiếp chân thật.,3.2,3.0,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S009,curriculum,教材例句应反映真实交际场景。,Câu ví dụ trong giáo trình nên phản ánh bối cảnh giao tiếp thực tế.,MT_B,Câu ví dụ trong giáo trình nên phản ánh tình huống giao tiếp thực tế.,4.7,4.6,no_error,none,acceptable_variant,synthetic education-policy translation example; not output from a named commercial system
S009,curriculum,教材例句应反映真实交际场景。,Câu ví dụ trong giáo trình nên phản ánh bối cảnh giao tiếp thực tế.,MT_C,Giáo trình nên phản ánh giao tiếp thực tế.,3.2,3.6,omission,minor,revise,synthetic education-policy translation example; not output from a named commercial system
S010,equity,教育公平不仅是入学机会，也包括学习过程中的支持。,Công bằng giáo dục không chỉ là cơ hội nhập học mà còn gồm hỗ trợ trong quá trình học tập.,MT_A,"Công bằng giáo dục không chỉ là cơ hội vào học, cũng bao gồm ủng hộ trong quá trình học.",3.1,2.8,style,minor,revise,synthetic education-policy translation example; not output from a named commercial system
S010,equity,教育公平不仅是入学机会，也包括学习过程中的支持。,Công bằng giáo dục không chỉ là cơ hội nhập học mà còn gồm hỗ trợ trong quá trình học tập.,MT_B,Công bằng giáo dục không chỉ là cơ hội nhập học mà còn bao gồm hỗ trợ trong quá trình học tập.,4.8,4.6,no_error,none,acceptable_variant,synthetic education-policy translation example; not output from a named commercial system
S010,equity,教育公平不仅是入学机会，也包括学习过程中的支持。,Công bằng giáo dục không chỉ là cơ hội nhập học mà còn gồm hỗ trợ trong quá trình học tập.,MT_C,Công bằng giáo dục gồm cơ hội nhập học và hỗ trợ học tập.,3.5,3.8,omission,minor,revise,synthetic education-policy translation example; not output from a named commercial system
S011,assessment,形成性评价能够帮助教师及时调整教学。,Đánh giá quá trình có thể giúp giáo viên điều chỉnh dạy học kịp thời.,MT_A,Đánh giá hình thành có thể giúp giáo viên kịp thời điều chỉnh dạy học.,3.6,3.4,terminology,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S011,assessment,形成性评价能够帮助教师及时调整教学。,Đánh giá quá trình có thể giúp giáo viên điều chỉnh dạy học kịp thời.,MT_B,Đánh giá quá trình có thể giúp giáo viên điều chỉnh hoạt động dạy học kịp thời.,4.5,4.4,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S011,assessment,形成性评价能够帮助教师及时调整教学。,Đánh giá quá trình có thể giúp giáo viên điều chỉnh dạy học kịp thời.,MT_C,Đánh giá quá trình giúp giáo viên điều chỉnh dạy học.,3.9,4.0,omission,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S012,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_A,Dữ liệu bình đài không thể thay thế giáo viên đối với quá trình học tập quan sát.,2.7,2.4,word_order,major,revise,synthetic education-policy translation example; not output from a named commercial system
S012,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_B,Dữ liệu từ nền tảng không thể thay thế việc giáo viên quan sát quá trình học tập.,4.6,4.4,style,minor,accept_with_minor_edit,synthetic education-policy translation example; not output from a named commercial system
S012,digitalization,平台数据不能替代教师对学习过程的观察。,Dữ liệu nền tảng không thể thay thế quan sát của giáo viên về quá trình học tập.,MT_C,Dữ liệu không thể thay thế giáo viên.,2.8,3.2,omission,major,revise,synthetic education-policy translation example; not output from a named commercial system
