learner_id,class_group,activity_focus,pre_score,post_score,attendance_hours,completed,self_confidence
S001,A,Measure Words,62,75,4.5,yes,4
S002, a ,measure words,58,70,4.0,Y,3
S003,Class A,measure_words,NA,72,4.5,yes,4
S004,A,Measure words,60,missing,4.0,yes,3
S005,B,result complements,55,68,3.5,y,2
S006,b,Result Complements,59,73,4.0,YES,3
S007,B ,result_complements,61,74,4.0,yes,3
S008,Class B,result-complements,not recorded,71,3.5,yes,2
S009,C,Word Order,64,73,4.5,yes,4
S010,c,word order,63,72,4.0,Y,4
S011,Class C,word_order,65,74,4.5,yes,5
S012,C,word-order,61,,4.0,no,3
S013,D,Vocab Review,72,82,3.0,yes,5
S014,d,vocabulary review,70,80,3.5,Y,4
S015,Class D,vocabulary_review,74,84,3.5,yes,5
S016,D,vocab_review,71,81,3.0,yes,4
S017,A,Measure Words,57,69,4.5,yes,3
S018, a,measure_words,60,73,4.0,yes,4
S019,Class A,measure words,56,67,3.5,n,2
S020,A,Measure Words,61,74,4.0,yes,4
S021,B,Result Complements,58,70,4.0,yes,3
S022,b,result complements,57,69,4.0,yes,3
S023,Class B,result_complements,62,76,4.5,Y,4
S024,B,result-complements,eighty,78,4.5,yes,4
S025,C,Word Order,66,75,4.0,yes,4
S026,c,word_order,63,71,3.5,yes,3
S027,Class C,word order,missing,72,4.0,yes,3
S028,C,word-order,62,70,4.0,no,2
S029,D,Vocabulary Review,75,84,3.5,yes,5
S030,d,vocab review,73,82,3.0,Y,4
S031,Class D,vocabulary_review,NA,83,3.0,yes,5
S032,D,Vocab Review,72,81,3.5,yes,4
S033,A,Measure Words,59,72,4.5,,3
S034,B,Result Complements,60,NA,4.0,yes,3
S035,C,Word Order,65,74,not recorded,yes,4
S036,D,Vocabulary Review,74,85,3.5,YES,5
