term,vi,en,notes
raw data,dữ liệu gốc,raw data,Data as collected before cleaning
cleaned data,dữ liệu đã làm sạch,cleaned data,Derived dataset produced by code
missing value,giá trị thiếu,missing value,Unknown or unavailable value, not zero
label normalization,chuẩn hóa nhãn,label normalization,Make label variants consistent
type conversion,chuyển kiểu dữ liệu,type conversion,Convert text-like numbers to numeric values
errors coerce,ép lỗi thành missing,errors="coerce",Invalid values become missing
cleaning log,nhật ký làm sạch,cleaning log,Table documenting cleaning decisions
mapping,bảng ánh xạ,mapping,Dictionary from raw variants to standard labels
before after table,bảng trước/sau,before/after table,Table showing changes after cleaning
Methods,phần phương pháp,Methods,Paper section for data preparation decisions
Data preparation,chuẩn bị dữ liệu,Data preparation,Writing label for cleaning decisions
zero,số 0,zero,A real value, not the same as missing
not recorded,chưa ghi nhận,not recorded,Example missing-value code
unmapped label,nhãn chưa map,unmapped label,Label variant not covered by mapping
