example_id,teaching_track,phenomenon,chinese_example,pinyin,vietnamese_rendering,literal_gloss,focus_token_zh,focus_token_vi,chinese_pattern,vietnamese_pattern,similarity_level,teaching_risk,risk_score,learner_error_link,evidence_note,source_type,include_in_table
C001,contrastive_teaching,time_place_order,我在学校学习汉语。,Wǒ zài xuéxiào xuéxí Hànyǔ.,Tôi học tiếng Trung ở trường.,I at school study Chinese,在学校,ở trường,S + place + V + object,S + V + object + place,partial,high,3,word_order,"Vietnamese often places location after the verb, so the Chinese pre-verbal location frame needs practice.",synthetic teaching example,True
C002,contrastive_teaching,time_place_order,他明天去北京。,Tā míngtiān qù Běijīng.,Ngày mai anh ấy đi Bắc Kinh.,he tomorrow go Beijing,明天,ngày mai,S + time + V + place,time can be initial or after subject,partial,medium,2,word_order,"Time adverbials are flexible, but classroom sentence frames need explicit order.",synthetic teaching example,True
C003,contrastive_teaching,time_place_order,我们下午在图书馆见面。,Wǒmen xiàwǔ zài túshūguǎn jiànmiàn.,Chiều nay chúng tôi gặp nhau ở thư viện.,we afternoon at library meet,下午 / 在图书馆,chiều nay / ở thư viện,S + time + place + V,time/place often surround verb phrase,partial,high,3,word_order,Two adverbials make the sequence worth slow practice.,synthetic teaching example,True
C004,contrastive_teaching,time_place_order,老师在黑板上写汉字。,Lǎoshī zài hēibǎn shàng xiě Hànzì.,Thầy/cô viết chữ Hán lên bảng.,teacher on board write characters,在黑板上,lên bảng,S + location + V + object,S + V + object + direction/location,different,high,3,word_order,"Location phrase is a sentence frame, not just a translated chunk.",synthetic teaching example,True
C005,contrastive_teaching,time_place_order,我每天早上练习声调。,Wǒ měitiān zǎoshang liànxí shēngdiào.,Mỗi sáng tôi luyện thanh điệu.,I every morning practice tones,每天早上,mỗi sáng,S + frequency/time + V + object,time phrase may start sentence,partial,medium,2,word_order,Good beginner example because contrast is visible but manageable.,synthetic teaching example,True
C006,contrastive_teaching,time_place_order,学生周末在家复习。,Xuésheng zhōumò zài jiā fùxí.,Cuối tuần sinh viên ôn bài ở nhà.,students weekend at home review,周末 / 在家,cuối tuần / ở nhà,S + time + place + V,time + S + V + place is common,partial,medium,2,word_order,Bridge from one adverbial to two adverbials.,synthetic teaching example,True
C007,contrastive_teaching,time_place_order,她昨天给老师发邮件。,Tā zuótiān gěi lǎoshī fā yóujiàn.,Hôm qua cô ấy gửi email cho thầy/cô.,she yesterday to teacher send email,给老师,cho thầy/cô,S + time + 给 + recipient + V + object,S + V + object + cho + recipient,different,high,3,word_order,Recipient phrases show why contrastive notes help teaching.,synthetic teaching example,True
C008,contrastive_teaching,time_place_order,我们在课堂上做角色扮演。,Wǒmen zài kètáng shàng zuò juésè bànyǎn.,Chúng tôi đóng vai trong lớp.,we in class do role play,在课堂上,trong lớp,S + place + V + object,S + V + object + place,partial,medium,2,word_order,Useful for TCSOL classroom examples.,synthetic teaching example,True
C009,contrastive_teaching,time_place_order,我先写拼音再写汉字。,Wǒ xiān xiě pīnyīn zài xiě Hànzì.,Tôi viết pinyin trước rồi viết chữ Hán.,I first write pinyin then characters,先...再...,trước...rồi...,sequencing markers before verbs,Vietnamese sequencing can frame clauses similarly,similar,low,1,word_order,Include a lower-risk example so not all contrasts are treated as problems.,synthetic teaching example,True
C010,contrastive_teaching,measure_classifier,两杯茶,liǎng bēi chá,hai cốc trà,two cup tea,杯,cốc,number + classifier + noun,number + classifier/noun + noun,similar,medium,2,measure_word,Classifier meaning is concrete; teach as object chunks.,synthetic teaching example,True
C011,contrastive_teaching,measure_classifier,三本书,sān běn shū,ba quyển sách,three volume book,本,quyển,number + classifier + noun,number + classifier + noun,similar,low,1,measure_word,Transparent example for confidence.,synthetic teaching example,True
C012,contrastive_teaching,measure_classifier,一张票,yì zhāng piào,một vé / một tấm vé,one flat ticket,张,tấm,number + flat-object classifier + noun,classifier may be omitted or lexicalized,partial,high,3,measure_word,"Vietnamese can omit the classifier in natural speech, so 张 needs attention.",synthetic teaching example,True
