term,vi,en,note_vi,note_en
unit of analysis,đơn vị quan sát,unit of analysis,một row là một cặp ví dụ Hán-Việt,one row is one Chinese-Vietnamese example pair
synthetic dataset,dữ liệu giả lập/synthetic,synthetic dataset,dữ liệu luyện workflow không phải corpus thật,workflow-practice data rather than a real corpus
contrastive example,ví dụ đối chiếu,contrastive example,một Chinese pattern đi cùng Vietnamese rendering,one Chinese pattern paired with a Vietnamese rendering
phenomenon,hiện tượng,phenomenon,nhãn người nghiên cứu gán cho contrastive point,human code for the contrastive point
Vietnamese rendering,cách diễn đạt tiếng Việt,Vietnamese rendering,cách nói tiếng Việt tương ứng nhưng không luôn là dịch từng chữ,not always a word-for-word translation
teaching risk,rủi ro/ưu tiên dạy học,teaching risk,heuristic giáo viên gán để chọn ví dụ cần giải thích,teacher-assigned heuristic for prioritizing explanation
representative example,ví dụ đại diện,representative example,cặp ví dụ rõ để đưa vào paragraph,clear example pair for paragraph writing
str.contains(),kiểm tra text có chứa pattern,string contains check,chỉ tìm marker nhìn thấy được trong text,visible pattern search only
crosstab,bảng chéo,crosstab,bảng đếm hai category cùng lúc,count table for two categories
priority score,điểm ưu tiên,priority score,điểm heuristic bằng n nhân mean risk,heuristic score calculated as n times mean risk
